citation_name,date_signed,state,effective_date,expiration_date,prohibited_issuing_groups,vaccination_prohibition_groups,vaccination_requirement_details,vaccination_person_exact_term,vaccination_person_definition,vaccination_issuer_exact_term,vaccination_issuer_definition,vaccination_prohibition_exemptions
AL SB 267 (2021),05/23/2021 12:00:00 AM,Alabama,05/24/2021 12:00:00 AM,,Government – school district,K-12 students,Prohibits requiring vaccination,[an individual],an individual,[state or local government entity],"state or local government entity, or any of its officers or agents",[]
AL SB 267 (2021),05/23/2021 12:00:00 AM,Alabama,05/24/2021 12:00:00 AM,,Government – school district,School workers,Prohibits requiring vaccination,[an individual],an individual,[state or local government entity],"state or local government entity, or any of its officers or agents",[]
AL SB 267 (2021),05/23/2021 12:00:00 AM,Alabama,05/24/2021 12:00:00 AM,,Government – governor,Congregate facility workers,Prohibits requiring vaccination,[an individual],an individual,[state or local government entity],"state or local government entity, or any of its officers or agents",[]
AL SB 267 (2021),05/23/2021 12:00:00 AM,Alabama,05/24/2021 12:00:00 AM,,Government – governor,Government workers,Prohibits requiring vaccination,[an individual],an individual,[state or local government entity],"state or local government entity, or any of its officers or agents",[]
AL SB 267 (2021),05/23/2021 12:00:00 AM,Alabama,05/24/2021 12:00:00 AM,,Government – governor,Healthcare workers,Prohibits requiring vaccination,[an individual],an individual,[state or local government entity],"state or local government entity, or any of its officers or agents",[]
AL SB 267 (2021),05/23/2021 12:00:00 AM,Alabama,05/24/2021 12:00:00 AM,,Government – governor,IHE students,Prohibits requiring vaccination,[an individual],an individual,[state or local government entity],"state or local government entity, or any of its officers or agents",[]
AL SB 267 (2021),05/23/2021 12:00:00 AM,Alabama,05/24/2021 12:00:00 AM,,Government – governor,K-12 students,Prohibits requiring vaccination,[an individual],an individual,[state or local government entity],"state or local government entity, or any of its officers or agents",[]
AL SB 267 (2021),05/23/2021 12:00:00 AM,Alabama,05/24/2021 12:00:00 AM,,Government – governor,Long-term care facility workers,Prohibits requiring vaccination,[an individual],an individual,[state or local government entity],"state or local government entity, or any of its officers or agents",[]
AL SB 267 (2021),05/23/2021 12:00:00 AM,Alabama,05/24/2021 12:00:00 AM,,Government – governor,Patrons of businesses,Prohibits requiring vaccination,[an individual],an individual,[state or local government entity],"state or local government entity, or any of its officers or agents",[]
AL SB 267 (2021),05/23/2021 12:00:00 AM,Alabama,05/24/2021 12:00:00 AM,,Government – governor,Private business employees,Prohibits requiring vaccination,[an individual],an individual,[state or local government entity],"state or local government entity, or any of its officers or agents",[]
