citation_name,date_signed,state,effective_date,expiration_date,vaccination_mandate_group,vaccination_requirement_details,vaccination_testing_frequency,vaccination_person_exact_term,vaccination_person_definition,vaccination_religious_exemption,vaccination_medical_exemption,vaccination_enforcement,negative_test_option,negative_test_timeframe,requires_booster
"Am. Samoa Modified Declaration (May, 27, 2022)",05/27/2022 12:00:00 AM,American Samoa,05/28/2022 12:00:00 AM,2022-06-27T00:00:00,Government workers,"Requires vaccination, but allows some exemptions (e.g., religious, medical)",,[Executive Branch Employees],"Executive Branch Employees of the American Samoa Government, including but not limited to, career service employees, political appointees, and contract employees","Yes, requires specific supporting documentation","Yes, requires specific supporting documentation","[Must show proof of vaccination - Vaccine card, Must show proof of vaccination - Other, Must show proof of vaccination - IIS, Termination of employment, Adverse employment action, Exclusion from workplace]",,,false
"Am. Samoa Declaration-First Amendment to April 28, 2022 (May 2, 2022)",05/02/2022 12:00:00 AM,American Samoa,04/28/2022 12:00:00 AM,2022-05-28T00:00:00,Government workers,"Requires vaccination, but allows some exemptions (e.g., religious, medical)",,[Government Employee],"Executive Branch Employees of the American Samoa Government, including but not limited to, career service employees, political appointees, and contract employees","Yes, requires specific supporting documentation","Yes, requires specific supporting documentation","[Must show proof of vaccination - Vaccine card, Must show proof of vaccination - Other, Must show proof of vaccination - IIS, Termination of employment, Adverse employment action, Exclusion from workplace]",,,false
"Am. Samoa Declaration (Apr. 28, 2022)",04/28/2022 12:00:00 AM,American Samoa,04/28/2022 12:00:00 AM,2022-05-28T00:00:00,Government workers,"Requires vaccination, but allows some exemptions (e.g., religious, medical)",,[Executive Branch Employees],"Executive Branch Employees of the American Samoa Government, including but not limited to, career service employees, political appointees, and contract employees","Yes, requires specific supporting documentation","Yes, requires specific supporting documentation","[Must show proof of vaccination - Vaccine card, Must show proof of vaccination - Other, Must show proof of vaccination - IIS, Termination of employment, Adverse employment action, Exclusion from workplace]",,,false
"Am. Samoa Declaration (Apr. 12, 2022)",04/12/2022 12:00:00 AM,American Samoa,04/13/2022 12:00:00 AM,2022-05-13T00:00:00,Government workers,"Requires vaccination, but allows some exemptions (e.g., religious, medical)",,[Executive Branch Employees],"Executive Branch Employees of the American Samoa Government, including but not limited to, career service employees, political appointees, and contract employees","Yes, requires specific supporting documentation","Yes, requires specific supporting documentation","[Must show proof of vaccination - Vaccine card, Must show proof of vaccination - Other, Must show proof of vaccination - IIS, Termination of employment, Adverse employment action, Exclusion from workplace]",,,false
"Am. Samoa Declaration (Mar. 14, 2022)",03/14/2022 12:00:00 AM,American Samoa,03/15/2022 12:00:00 AM,2022-04-13T00:00:00,Government workers,"Requires vaccination, but allows some exemptions (e.g., religious, medical)",,[Executive Branch Employees],"Executive Branch Employees of the American Samoa Government, including but not limited to, career service employees, political appointees, and contract employees","Yes, requires specific supporting documentation","Yes, requires specific supporting documentation","[Must show proof of vaccination - Other, Must show proof of vaccination - Vaccine card, Must show proof of vaccination - IIS, Exclusion from workplace, Adverse employment action, Termination of employment]",,,false
"Am. Samoa Declaration (Feb. 4, 2022)",02/04/2022 12:00:00 AM,American Samoa,02/06/2022 12:00:00 AM,2022-03-10T00:00:00,Government workers,"Requires vaccination, but allows some exemptions (e.g., religious, medical)",,[Executive Branch employees],"Executive Branch employees of the American Samoan Government. including but not limited to, career service employees, political appointees, and contract employees","Yes, requires specific supporting documentation","Yes, requires specific supporting documentation","[Must show proof of vaccination - Vaccine card, Must show proof of vaccination - Other, Must show proof of vaccination - IIS, Termination of employment, Adverse employment action, Exclusion from workplace]",,,false
"Am. Samoa Declaration (Jan. 6, 2022)",01/06/2022 12:00:00 AM,American Samoa,01/28/2022 12:00:00 AM,2022-02-06T00:00:00,Government workers,"Requires vaccination, but allows some exemptions (e.g., religious, medical)",,[Executive Branch employees],"Executive Branch employees of the American Samoan Government. including but not limited to, career service employees, political appointees, and contract employees","Yes, requires specific supporting documentation","Yes, requires specific supporting documentation","[Must show proof of vaccination - Vaccine card, Must show proof of vaccination - Other, Must show proof of vaccination - IIS, Adverse employment action, Exclusion from workplace]",,,false
"Am. Samoa Declaration (Dec. 9, 2021)",12/09/2021 12:00:00 AM,American Samoa,01/28/2022 12:00:00 AM,2022-01-08T00:00:00,Government workers,"Requires vaccination, but allows some exemptions (e.g., religious, medical)",,[Executive Branch employees],"Executive Branch employees of the American Samoan Government. including but not limited to, career service employees, political appointees, and contract employees","Yes, requires specific supporting documentation","Yes, requires specific supporting documentation","[Must show proof of vaccination - Vaccine card, Must show proof of vaccination - 3rd party app, Must show proof of vaccination - Other, Must show proof of vaccination - IIS, Adverse employment action, Exclusion from workplace]",,,false
"Am. Samoa Declaration (Nov. 10, 2021)",11/10/2021 12:00:00 AM,American Samoa,12/29/2021 12:00:00 AM,2021-12-09T00:00:00,Government workers,"Requires vaccination, but allows some exemptions (e.g., religious, medical)",,[Executive Branch employees],"Including but not limited to, career service employees, political appointees, and contract employees","Yes, requires specific supporting documentation","Yes, requires specific supporting documentation","[Must show proof of vaccination - Vaccine card, Must show proof of vaccination - 3rd party app, Must show proof of vaccination - Other, Must show proof of vaccination - IIS, Exclusion from workplace]",,,
"Am. Samoa 1st Amend. Decl. (Nov. 1, 2021)",11/01/2021 12:00:00 AM,American Samoa,12/29/2021 12:00:00 AM,,Government workers,"Requires vaccination, but allows some exemptions (e.g., religious, medical)",,[Executive Branch employees],"including but not limited to career service employees, political appointees, and contract employees","Yes, requires specific supporting documentation","Yes, requires specific supporting documentation","[Must show proof of vaccination - Vaccine card, Must show proof of vaccination - Other, Must show proof of vaccination - IIS, Termination of employment, Exclusion from workplace]",,,false
"Am. Samoa Modified Declaration (May, 27, 2022)",05/27/2022 12:00:00 AM,American Samoa,05/28/2022 12:00:00 AM,2022-06-27T00:00:00,Healthcare workers,"Requires vaccination, but allows some exemptions (e.g., religious, medical)",,[Healthcare  workers],not further defined,"Yes, requires specific supporting documentation","Yes, requires specific supporting documentation","[Must show proof of vaccination - Vaccine card, Must show proof of vaccination - Other, Must show proof of vaccination - IIS, Termination of employment, Adverse employment action, Exclusion from workplace]",,,true
"Am. Samoa Declaration (Apr. 28, 2022)",04/28/2022 12:00:00 AM,American Samoa,04/13/2022 12:00:00 AM,2022-05-28T00:00:00,Healthcare workers,"Requires vaccination, but allows some exemptions (e.g., religious, medical)",,[Healthcare workers],not further defined,"Yes, requires specific supporting documentation","Yes, requires specific supporting documentation","[Must show proof of vaccination - Vaccine card, Must show proof of vaccination - Other, Must show proof of vaccination - IIS, Termination of employment, Adverse employment action, Exclusion from workplace]",,,true
"Am. Samoa Declaration (Apr. 12, 2022)",04/12/2022 12:00:00 AM,American Samoa,05/13/2022 12:00:00 AM,2022-05-13T00:00:00,Healthcare workers,"Requires vaccination, but allows some exemptions (e.g., religious, medical)",,[Healthcare workers],not further defined,"Yes, requires specific supporting documentation","Yes, requires specific supporting documentation","[Must show proof of vaccination - Vaccine card, Must show proof of vaccination - Other, Must show proof of vaccination - IIS, Termination of employment, Adverse employment action, Exclusion from workplace]",,,true
"Am. Samoa Declaration (Mar. 14, 2022)",03/14/2022 12:00:00 AM,American Samoa,04/13/2022 12:00:00 AM,2022-04-13T00:00:00,Healthcare workers,"Requires vaccination, but allows some exemptions (e.g., religious, medical)",,[Healthcare Workers],not defined further,"Yes, requires specific supporting documentation","Yes, requires specific supporting documentation","[Must show proof of vaccination - Vaccine card, Must show proof of vaccination - Other, Termination of employment, Adverse employment action, Exclusion from workplace, Must show proof of vaccination - IIS]",,,true
