date,county,state,fips,cases,deaths
2020-03-01,Unknown,Rhode Island,,2,0
2020-03-02,Unknown,Rhode Island,,2,0
2020-03-03,Unknown,Rhode Island,,2,0
2020-03-04,Unknown,Rhode Island,,2,0
2020-03-05,Unknown,Rhode Island,,2,0
2020-03-06,Unknown,Rhode Island,,3,0
2020-03-07,Unknown,Rhode Island,,3,0
2020-03-08,Unknown,Rhode Island,,3,0
2020-03-09,Unknown,Rhode Island,,3,0
2020-03-10,Unknown,Rhode Island,,5,0
2020-03-11,Unknown,Rhode Island,,5,0
2020-03-12,Unknown,Rhode Island,,5,0
2020-03-13,Unknown,Rhode Island,,20,0
2020-03-14,Unknown,Rhode Island,,20,0
2020-03-15,Unknown,Rhode Island,,20,0
2020-03-16,Unknown,Rhode Island,,21,0
2020-03-17,Unknown,Rhode Island,,23,0
2020-03-18,Unknown,Rhode Island,,33,0
2020-03-19,Unknown,Rhode Island,,44,0
2020-03-20,Unknown,Rhode Island,,44,0
2020-03-21,Unknown,Rhode Island,,66,0
2020-03-22,Unknown,Rhode Island,,83,0
2020-03-23,Unknown,Rhode Island,,106,0
2020-03-24,Unknown,Rhode Island,,124,0
2020-03-25,Bristol,Rhode Island,44001,5,0
2020-03-25,Kent,Rhode Island,44003,7,0
2020-03-25,Newport,Rhode Island,44005,8,0
2020-03-25,Providence,Rhode Island,44007,37,0
2020-03-25,Unknown,Rhode Island,,66,0
2020-03-25,Washington,Rhode Island,44009,9,0
2020-03-26,Bristol,Rhode Island,44001,5,0
2020-03-26,Kent,Rhode Island,44003,7,0
2020-03-26,Newport,Rhode Island,44005,8,0
2020-03-26,Providence,Rhode Island,44007,42,0
2020-03-26,Unknown,Rhode Island,,94,0
2020-03-26,Washington,Rhode Island,44009,9,0
2020-03-27,Bristol,Rhode Island,44001,5,0
2020-03-27,Kent,Rhode Island,44003,7,0
2020-03-27,Newport,Rhode Island,44005,8,0
2020-03-27,Providence,Rhode Island,44007,42,0
2020-03-27,Unknown,Rhode Island,,132,0
2020-03-27,Washington,Rhode Island,44009,9,0
2020-03-28,Bristol,Rhode Island,44001,5,0
2020-03-28,Kent,Rhode Island,44003,7,0
2020-03-28,Newport,Rhode Island,44005,8,0
2020-03-28,Providence,Rhode Island,44007,42,0
2020-03-28,Unknown,Rhode Island,,168,2
2020-03-28,Washington,Rhode Island,44009,9,0
2020-03-29,Bristol,Rhode Island,44001,11,0
2020-03-29,Kent,Rhode Island,44003,28,0
2020-03-29,Newport,Rhode Island,44005,17,0
2020-03-29,Providence,Rhode Island,44007,148,0
2020-03-29,Unknown,Rhode Island,,69,3
2020-03-29,Washington,Rhode Island,44009,21,0
2020-03-30,Bristol,Rhode Island,44001,14,0
2020-03-30,Kent,Rhode Island,44003,32,0
2020-03-30,Newport,Rhode Island,44005,21,0
2020-03-30,Providence,Rhode Island,44007,214,0
2020-03-30,Unknown,Rhode Island,,99,4
2020-03-30,Washington,Rhode Island,44009,28,0
2020-03-31,Bristol,Rhode Island,44001,19,0
2020-03-31,Kent,Rhode Island,44003,40,0
2020-03-31,Newport,Rhode Island,44005,23,0
2020-03-31,Providence,Rhode Island,44007,305,0
2020-03-31,Unknown,Rhode Island,,72,8
2020-03-31,Washington,Rhode Island,44009,29,0
2020-04-01,Bristol,Rhode Island,44001,20,0
2020-04-01,Kent,Rhode Island,44003,55,0
2020-04-01,Newport,Rhode Island,44005,31,0
2020-04-01,Providence,Rhode Island,44007,391,3
2020-04-01,Unknown,Rhode Island,,37,7
2020-04-01,Washington,Rhode Island,44009,32,0
2020-04-02,Bristol,Rhode Island,44001,21,0
2020-04-02,Kent,Rhode Island,44003,59,0
2020-04-02,Newport,Rhode Island,44005,33,0
2020-04-02,Providence,Rhode Island,44007,418,3
2020-04-02,Unknown,Rhode Island,,92,9
2020-04-02,Washington,Rhode Island,44009,34,0
2020-04-03,Bristol,Rhode Island,44001,21,0
2020-04-03,Kent,Rhode Island,44003,59,0
2020-04-03,Newport,Rhode Island,44005,33,0
2020-04-03,Providence,Rhode Island,44007,418,7
2020-04-03,Unknown,Rhode Island,,146,7
2020-04-03,Washington,Rhode Island,44009,34,0
2020-04-04,Bristol,Rhode Island,44001,24,0
2020-04-04,Kent,Rhode Island,44003,82,0
2020-04-04,Newport,Rhode Island,44005,39,0
2020-04-04,Providence,Rhode Island,44007,491,7
2020-04-04,Unknown,Rhode Island,,122,10
2020-04-04,Washington,Rhode Island,44009,48,0
2020-04-05,Bristol,Rhode Island,44001,25,0
2020-04-05,Kent,Rhode Island,44003,92,0
2020-04-05,Newport,Rhode Island,44005,42,0
2020-04-05,Providence,Rhode Island,44007,538,7
2020-04-05,Unknown,Rhode Island,,172,18
2020-04-05,Washington,Rhode Island,44009,53,0
2020-04-06,Bristol,Rhode Island,44001,25,0
2020-04-06,Kent,Rhode Island,44003,92,0
2020-04-06,Newport,Rhode Island,44005,42,0
2020-04-06,Providence,Rhode Island,44007,538,7
2020-04-06,Unknown,Rhode Island,,332,20
2020-04-06,Washington,Rhode Island,44009,53,0
2020-04-07,Bristol,Rhode Island,44001,30,0
2020-04-07,Kent,Rhode Island,44003,125,0
2020-04-07,Newport,Rhode Island,44005,56,0
2020-04-07,Providence,Rhode Island,44007,715,17
2020-04-07,Unknown,Rhode Island,,223,13
2020-04-07,Washington,Rhode Island,44009,80,0
2020-04-08,Bristol,Rhode Island,44001,31,0
2020-04-08,Kent,Rhode Island,44003,137,0
2020-04-08,Newport,Rhode Island,44005,56,0
2020-04-08,Providence,Rhode Island,44007,832,20
2020-04-08,Unknown,Rhode Island,,297,15
2020-04-08,Washington,Rhode Island,44009,97,0
2020-04-09,Bristol,Rhode Island,44001,37,0
2020-04-09,Kent,Rhode Island,44003,152,0
2020-04-09,Newport,Rhode Island,44005,57,0
2020-04-09,Providence,Rhode Island,44007,957,20
2020-04-09,Unknown,Rhode Island,,424,23
2020-04-09,Washington,Rhode Island,44009,100,0
2020-04-10,Bristol,Rhode Island,44001,37,0
2020-04-10,Kent,Rhode Island,44003,152,0
2020-04-10,Newport,Rhode Island,44005,57,0
2020-04-10,Providence,Rhode Island,44007,957,20
2020-04-10,Unknown,Rhode Island,,712,29
2020-04-10,Washington,Rhode Island,44009,100,0
2020-04-11,Bristol,Rhode Island,44001,39,0
2020-04-11,Kent,Rhode Island,44003,169,0
2020-04-11,Newport,Rhode Island,44005,74,0
2020-04-11,Providence,Rhode Island,44007,1278,20
2020-04-11,Unknown,Rhode Island,,673,36
2020-04-11,Washington,Rhode Island,44009,116,0
2020-04-12,Bristol,Rhode Island,44001,39,0
2020-04-12,Kent,Rhode Island,44003,169,0
2020-04-12,Newport,Rhode Island,44005,74,0
