date,county,state,fips,cases,deaths
2020-03-17,Jefferson,West Virginia,54037,1,0
2020-03-18,Jefferson,West Virginia,54037,1,0
2020-03-18,Mercer,West Virginia,54055,1,0
2020-03-19,Jefferson,West Virginia,54037,1,0
2020-03-19,Mercer,West Virginia,54055,1,0
2020-03-19,Monongalia,West Virginia,54061,1,0
2020-03-19,Tucker,West Virginia,54093,2,0
2020-03-20,Jackson,West Virginia,54035,1,0
2020-03-20,Jefferson,West Virginia,54037,2,0
2020-03-20,Kanawha,West Virginia,54039,1,0
2020-03-20,Mercer,West Virginia,54055,1,0
2020-03-20,Monongalia,West Virginia,54061,1,0
2020-03-20,Tucker,West Virginia,54093,2,0
2020-03-21,Jackson,West Virginia,54035,1,0
2020-03-21,Jefferson,West Virginia,54037,2,0
2020-03-21,Kanawha,West Virginia,54039,1,0
2020-03-21,Marshall,West Virginia,54051,2,0
2020-03-21,Mercer,West Virginia,54055,2,0
2020-03-21,Monongalia,West Virginia,54061,1,0
2020-03-21,Putnam,West Virginia,54079,1,0
2020-03-21,Tucker,West Virginia,54093,2,0
2020-03-22,Jackson,West Virginia,54035,1,0
2020-03-22,Jefferson,West Virginia,54037,3,0
2020-03-22,Kanawha,West Virginia,54039,3,0
2020-03-22,Marshall,West Virginia,54051,2,0
2020-03-22,Mercer,West Virginia,54055,2,0
2020-03-22,Monongalia,West Virginia,54061,2,0
2020-03-22,Putnam,West Virginia,54079,1,0
2020-03-22,Tucker,West Virginia,54093,2,0
2020-03-23,Jackson,West Virginia,54035,1,0
2020-03-23,Jefferson,West Virginia,54037,3,0
2020-03-23,Kanawha,West Virginia,54039,3,0
2020-03-23,Marshall,West Virginia,54051,2,0
2020-03-23,Mercer,West Virginia,54055,2,0
2020-03-23,Monongalia,West Virginia,54061,2,0
2020-03-23,Putnam,West Virginia,54079,1,0
2020-03-23,Tucker,West Virginia,54093,2,0
2020-03-24,Berkeley,West Virginia,54003,2,0
2020-03-24,Harrison,West Virginia,54033,3,0
2020-03-24,Jackson,West Virginia,54035,2,0
2020-03-24,Jefferson,West Virginia,54037,3,0
2020-03-24,Kanawha,West Virginia,54039,4,0
2020-03-24,Marshall,West Virginia,54051,2,0
2020-03-24,Mercer,West Virginia,54055,2,0
2020-03-24,Monongalia,West Virginia,54061,16,0
2020-03-24,Preston,West Virginia,54077,1,0
2020-03-24,Putnam,West Virginia,54079,1,0
2020-03-24,Tucker,West Virginia,54093,2,0
2020-03-24,Wood,West Virginia,54107,1,0
2020-03-25,Berkeley,West Virginia,54003,2,0
2020-03-25,Harrison,West Virginia,54033,3,0
2020-03-25,Jackson,West Virginia,54035,4,0
2020-03-25,Jefferson,West Virginia,54037,3,0
2020-03-25,Kanawha,West Virginia,54039,5,0
2020-03-25,Logan,West Virginia,54045,1,0
2020-03-25,Marion,West Virginia,54049,1,0
2020-03-25,Marshall,West Virginia,54051,2,0
2020-03-25,Mercer,West Virginia,54055,2,0
2020-03-25,Monongalia,West Virginia,54061,18,0
2020-03-25,Ohio,West Virginia,54069,2,0
2020-03-25,Preston,West Virginia,54077,2,0
2020-03-25,Putnam,West Virginia,54079,2,0
2020-03-25,Raleigh,West Virginia,54081,1,0
2020-03-25,Tucker,West Virginia,54093,2,0
2020-03-25,Wood,West Virginia,54107,1,0
2020-03-26,Berkeley,West Virginia,54003,4,0
2020-03-26,Harrison,West Virginia,54033,4,0
2020-03-26,Jackson,West Virginia,54035,5,0
2020-03-26,Jefferson,West Virginia,54037,4,0
2020-03-26,Kanawha,West Virginia,54039,15,0
2020-03-26,Logan,West Virginia,54045,1,0
2020-03-26,Marion,West Virginia,54049,2,0
2020-03-26,Marshall,West Virginia,54051,3,0
2020-03-26,Mason,West Virginia,54053,1,0
2020-03-26,Mercer,West Virginia,54055,2,0
2020-03-26,Monongalia,West Virginia,54061,24,0
2020-03-26,Ohio,West Virginia,54069,1,0
2020-03-26,Preston,West Virginia,54077,1,0
2020-03-26,Putnam,West Virginia,54079,2,0
2020-03-26,Raleigh,West Virginia,54081,2,0
2020-03-26,Tucker,West Virginia,54093,2,0
2020-03-26,Upshur,West Virginia,54097,1,0
2020-03-26,Wood,West Virginia,54107,2,0
2020-03-27,Berkeley,West Virginia,54003,9,0
2020-03-27,Greenbrier,West Virginia,54025,1,0
2020-03-27,Hancock,West Virginia,54029,1,0
2020-03-27,Harrison,West Virginia,54033,4,0
2020-03-27,Jackson,West Virginia,54035,6,0
2020-03-27,Jefferson,West Virginia,54037,4,0
2020-03-27,Kanawha,West Virginia,54039,17,0
2020-03-27,Logan,West Virginia,54045,1,0
2020-03-27,Marion,West Virginia,54049,3,0
2020-03-27,Marshall,West Virginia,54051,3,0
2020-03-27,Mason,West Virginia,54053,3,0
2020-03-27,Mercer,West Virginia,54055,2,0
2020-03-27,Monongalia,West Virginia,54061,23,0
2020-03-27,Ohio,West Virginia,54069,6,0
2020-03-27,Pleasants,West Virginia,54073,1,0
2020-03-27,Preston,West Virginia,54077,1,0
2020-03-27,Putnam,West Virginia,54079,3,0
2020-03-27,Raleigh,West Virginia,54081,3,0
2020-03-27,Tucker,West Virginia,54093,2,0
2020-03-27,Upshur,West Virginia,54097,1,0
2020-03-27,Wood,West Virginia,54107,2,0
2020-03-28,Berkeley,West Virginia,54003,10,0
2020-03-28,Greenbrier,West Virginia,54025,2,0
2020-03-28,Hancock,West Virginia,54029,3,0
2020-03-28,Harrison,West Virginia,54033,5,0
2020-03-28,Jackson,West Virginia,54035,7,0
2020-03-28,Jefferson,West Virginia,54037,4,0
2020-03-28,Kanawha,West Virginia,54039,19,0
2020-03-28,Logan,West Virginia,54045,1,0
2020-03-28,Marion,West Virginia,54049,5,0
2020-03-28,Marshall,West Virginia,54051,4,0
2020-03-28,Mason,West Virginia,54053,3,0
2020-03-28,Mercer,West Virginia,54055,2,0
2020-03-28,Monongalia,West Virginia,54061,29,0
2020-03-28,Ohio,West Virginia,54069,6,0
2020-03-28,Pleasants,West Virginia,54073,1,0
2020-03-28,Preston,West Virginia,54077,1,0
2020-03-28,Putnam,West Virginia,54079,3,0
2020-03-28,Raleigh,West Virginia,54081,3,0
