"fips","state","census_2020_pop","estimates_base_2020","pop_estimate_2020","pop_estimate_2021","pop_estimate_2022","pop_estimate_2023"
"01001","AL","58805","58809","58915","59203","59726","60342"
"01003","AL","231767","231768","233227","239439","246531","253507"
"01005","AL","25223","25229","24969","24533","24700","24585"
"01007","AL","22293","22301","22188","22359","21986","21868"
"01009","AL","59134","59130","59107","59079","59516","59816"
"01011","AL","10357","10360","10229","10143","10143","9897"
"01013","AL","19051","19046","19025","18890","18668","18382"
"01015","AL","116441","116441","116243","115678","115780","116429"
"01017","AL","34772","34772","34651","34488","34164","34079"
"01019","AL","24971","24973","24969","25074","25353","25666"
"01021","AL","45014","45011","45057","45259","45848","46431"
"01023","AL","12665","12669","12626","12548","12431","12252"
"01025","AL","23087","23091","22987","22740","22574","22337"
"01027","AL","14236","14237","14212","14170","14183","14111"
"01029","AL","15056","15057","15064","15156","15372","15639"
"01031","AL","53465","53459","53549","54199","54840","55643"
"01033","AL","57227","57232","57304","57644","57993","58361"
"01035","AL","11597","11597","11554","11320","11224","11174"
"01037","AL","10387","10378","10335","10314","10307","10268"
"01039","AL","37570","37563","37506","37570","37603","37952"
"01041","AL","13194","13193","13163","13069","13048","13101"
"01043","AL","87866","87857","88136","89639","90663","92016"
"01045","AL","49326","49322","49257","49395","49495","49871"
"01047","AL","38462","38458","38171","37515","36729","36165"
"01049","AL","71608","71617","71659","71912","72082","72569"
"01051","AL","87977","87980","87861","88789","89600","90441"
"01053","AL","36757","36768","36685","36660","36636","36558"
"01055","AL","103436","103434","103453","103010","102903","103241"
"01057","AL","16321","16326","16331","16127","16082","15967"
"01059","AL","32113","32112","32078","31998","31910","31802"
"01061","AL","26659","26658","26698","26620","26760","26988"
"01063","AL","7730","7731","7700","7614","7452","7341"
"01065","AL","14785","14788","14772","14726","14599","14888"
"01067","AL","17146","17141","17169","17433","17670","17899"
"01069","AL","107202","107202","107284","107470","108047","108462"
"01071","AL","52579","52579","52545","52719","52923","53467"
"01073","AL","674721","674340","674717","669990","665084","662895"
"01075","AL","13972","13972","13953","13736","13706","13661"
