fips,state,census_2020_pop,estimates_base_2020,pop_estimate_2020,pop_estimate_2021,pop_estimate_2022,pop_estimate_2023
00000,US,"331,449,281","331,464,948","331,526,933","332,048,977","333,271,411","334,914,895"
01000,AL,"5,024,279","5,024,294","5,031,864","5,050,380","5,073,903","5,108,468"
01001,AL,"58,805","58,809","58,915","59,203","59,726","60,342"
01003,AL,"231,767","231,768","233,227","239,439","246,531","253,507"
01005,AL,"25,223","25,229","24,969","24,533","24,700","24,585"
01007,AL,"22,293","22,301","22,188","22,359","21,986","21,868"
01009,AL,"59,134","59,130","59,107","59,079","59,516","59,816"
01011,AL,"10,357","10,360","10,229","10,143","10,143","9,897"
01013,AL,"19,051","19,046","19,025","18,890","18,668","18,382"
01015,AL,"116,441","116,441","116,243","115,678","115,780","116,429"
01017,AL,"34,772","34,772","34,651","34,488","34,164","34,079"
01019,AL,"24,971","24,973","24,969","25,074","25,353","25,666"
01021,AL,"45,014","45,011","45,057","45,259","45,848","46,431"
01023,AL,"12,665","12,669","12,626","12,548","12,431","12,252"
01025,AL,"23,087","23,091","22,987","22,740","22,574","22,337"
01027,AL,"14,236","14,237","14,212","14,170","14,183","14,111"
01029,AL,"15,056","15,057","15,064","15,156","15,372","15,639"
01031,AL,"53,465","53,459","53,549","54,199","54,840","55,643"
01033,AL,"57,227","57,232","57,304","57,644","57,993","58,361"
01035,AL,"11,597","11,597","11,554","11,320","11,224","11,174"
01037,AL,"10,387","10,378","10,335","10,314","10,307","10,268"
01039,AL,"37,570","37,563","37,506","37,570","37,603","37,952"
01041,AL,"13,194","13,193","13,163","13,069","13,048","13,101"
01043,AL,"87,866","87,857","88,136","89,639","90,663","92,016"
01045,AL,"49,326","49,322","49,257","49,395","49,495","49,871"
01047,AL,"38,462","38,458","38,171","37,515","36,729","36,165"
01049,AL,"71,608","71,617","71,659","71,912","72,082","72,569"
01051,AL,"87,977","87,980","87,861","88,789","89,600","90,441"
01053,AL,"36,757","36,768","36,685","36,660","36,636","36,558"
01055,AL,"103,436","103,434","103,453","103,010","102,903","103,241"
01057,AL,"16,321","16,326","16,331","16,127","16,082","15,967"
01059,AL,"32,113","32,112","32,078","31,998","31,910","31,802"
01061,AL,"26,659","26,658","26,698","26,620","26,760","26,988"
01063,AL,"7,730","7,731","7,700","7,614","7,452","7,341"
01065,AL,"14,785","14,788","14,772","14,726","14,599","14,888"
01067,AL,"17,146","17,141","17,169","17,433","17,670","17,899"
01069,AL,"107,202","107,202","107,284","107,470","108,047","108,462"
01071,AL,"52,579","52,579","52,545","52,719","52,923","53,467"
01073,AL,"674,721","674,340","674,717","669,990","665,084","662,895"
01075,AL,"13,972","13,972","13,953","13,736","13,706","13,661"
01077,AL,"93,564","93,562","94,025","94,853","95,875","96,814"
01079,AL,"33,073","33,074","33,089","33,073","33,187","33,502"
01081,AL,"174,241","174,247","174,754","177,596","180,698","183,215"
01083,AL,"103,570","103,565","104,203","107,303","110,868","114,654"
01085,AL,"10,311","10,321","10,285","9,945","9,783","9,717"
01087,AL,"19,532","19,527","19,464","18,905","18,532","18,370"
01089,AL,"388,153","388,154","390,503","396,671","403,605","412,600"
01091,AL,"19,323","19,325","19,270","18,985","18,791","18,684"
01093,AL,"29,341","29,340","29,176","29,001","29,182","29,244"
01095,AL,"97,612","97,611","97,702","98,286","99,428","100,756"
01097,AL,"414,809","414,809","414,377","413,383","411,398","411,640"
01099,AL,"19,772","19,771","19,706","19,550","19,412","19,229"
01101,AL,"228,954","228,952","228,342","226,935","226,301","224,980"
01103,AL,"123,421","123,424","123,288","123,375","124,231","125,133"
01105,AL,"8,511","8,513","8,458","8,328","7,904","7,738"
01107,AL,"19,123","19,130","18,969","18,618","18,749","18,688"
01109,AL,"33,009","33,002","32,900","32,746","33,008","33,137"
01111,AL,"21,967","21,961","22,086","22,184","22,460","22,786"
01113,AL,"59,183","59,182","59,258","58,681","58,594","58,744"
01115,AL,"91,103","91,468","91,657","92,874","93,881","95,552"
01117,AL,"223,024","223,038","223,912","227,453","230,033","233,000"
01119,AL,"12,345","12,344","12,191","11,967","11,889","11,727"
01121,AL,"82,149","82,149","81,575","80,734","80,748","81,132"
01123,AL,"41,311","41,309","41,284","41,099","40,913","40,677"
01125,AL,"227,036","227,037","231,547","235,670","236,690","237,373"
01127,AL,"65,342","65,344","65,138","64,636","64,438","64,728"
01129,AL,"15,388","15,389","15,329","15,223","15,094","15,022"
01131,AL,"10,600","10,598","10,534","10,423","10,139","9,944"
01133,AL,"23,540","23,547","23,493","23,655","23,741","23,611"
02000,AK,"733,391","733,374","732,964","734,923","733,276","733,406"
02013,AK,"3,420","3,421","3,427","3,417","3,430","3,461"
02016,AK,"5,232","5,225","5,214","5,147","5,090","5,160"
02020,AK,"291,247","291,244","290,893","289,169","286,983","286,075"
02050,AK,"18,666","18,657","18,661","18,594","18,259","18,224"
02060,AK,844,843,830,842,870,844
02063,AK,"7,102","7,103","7,080","6,971","6,899","6,769"
02066,AK,"2,617","2,616","2,614","2,621","2,609","2,674"
02068,AK,"1,619","1,624","1,614","1,595","1,575","1,584"
02070,AK,"4,857","4,856","4,838","4,796","4,724","4,607"
02090,AK,"95,655","95,660","95,337","95,593","95,202","94,840"
02100,AK,"2,080","2,078","2,084","2,074","2,070","2,070"
02105,AK,"2,365","2,360","2,358","2,330","2,279","2,262"
02110,AK,"32,255","32,256","32,209","31,979","31,740","31,555"
02122,AK,"58,799","58,801","58,942","59,946","60,611","61,223"
02130,AK,"13,948","13,953","13,915","13,866","13,772","13,738"
02150,AK,"13,101","13,100","13,047","12,878","12,639","12,565"
02158,AK,"8,368","8,370","8,371","8,377","8,214","8,001"
02164,AK,"1,476","1,474","1,450","1,419","1,377","1,331"
02170,AK,"107,081","107,068","107,504","110,998","113,472","115,239"
02180,AK,"10,046","10,050","10,029","9,894","9,791","9,763"
02185,AK,"11,031","11,032","11,004","11,054","10,811","10,603"
02188,AK,"7,793","7,796","7,797","7,635","7,453","7,361"
02195,AK,"3,398","3,397","3,403","3,381","3,370","3,427"
02198,AK,"5,753","5,755","5,741","5,720","5,650","5,696"
02220,AK,"8,458","8,449","8,426","8,383","8,353","8,282"
02230,AK,"1,240","1,240","1,238","1,147","1,092","1,095"
02240,AK,"6,808","6,807","6,821","7,007","7,016","7,077"
02275,AK,"2,127","2,125","2,126","2,102","2,071","2,064"
02282,AK,662,663,682,710,685,687
02290,AK,"5,343","5,351","5,309","5,278","5,169","5,129"
04000,AZ,"7,151,502","7,157,902","7,186,683","7,272,487","7,365,684","7,431,344"
04001,AZ,"66,021","66,026","65,913","65,389","65,533","65,036"
04003,AZ,"125,447","125,445","125,527","126,119","125,487","124,640"
04005,AZ,"145,101","145,104","145,192","142,897","144,223","144,472"
04007,AZ,"53,272","53,271","53,351","53,549","53,922","54,003"
04009,AZ,"38,533","38,541","38,646","38,921","38,822","39,525"
04011,AZ,"9,563","9,562","9,528","9,400","9,327","9,369"
04012,AZ,"16,557","16,546","16,569","16,385","16,535","16,710"
04013,AZ,"4,420,568","4,425,102","4,445,059","4,499,438","4,555,833","4,585,871"
04015,AZ,"213,267","213,276","214,185","217,164","220,905","223,682"
04017,AZ,"106,717","106,714","106,763","107,726","108,800","109,175"
04019,AZ,"1,043,433","1,043,435","1,045,175","1,048,914","1,057,476","1,063,162"
04021,AZ,"425,264","426,000","430,187","448,993","465,037","484,239"
04023,AZ,"47,669","47,668","47,712","47,956","48,680","49,158"
04025,AZ,"236,209","236,210","237,217","242,352","246,230","249,081"
04027,AZ,"203,881","205,002","205,659","207,284","208,874","213,221"
05000,AR,"3,011,524","3,011,490","3,014,348","3,028,443","3,046,404","3,067,732"
05001,AR,"17,149","17,148","17,107","16,687","16,498","16,307"
05003,AR,"19,062","19,058","18,957","18,654","18,348","18,262"
05005,AR,"41,627","41,628","41,686","42,224","42,485","42,875"
05007,AR,"284,333","284,340","286,618","294,297","302,822","311,013"
05009,AR,"37,373","37,367","37,381","37,894","38,280","38,530"
05011,AR,"10,545","10,545","10,495","10,343","10,168","10,104"
05013,AR,"4,739","4,740","4,736","4,728","4,687","4,641"
05015,AR,"28,260","28,257","28,240","28,539","28,717","28,814"
05017,AR,"10,208","10,211","10,156","10,052","9,834","9,538"
05019,AR,"21,446","21,445","21,385","21,244","21,276","21,274"
05021,AR,"14,552","14,548","14,529","14,362","14,271","14,201"
05023,AR,"24,711","24,710","24,704","25,028","25,253","25,445"
05025,AR,"7,550","7,550","7,552","7,486","7,467","7,378"
05027,AR,"22,801","22,800","22,744","22,490","22,286","22,150"
05029,AR,"20,715","20,710","20,730","20,902","21,021","21,077"
05031,AR,"111,231","111,242","111,619","111,794","112,863","113,993"
05033,AR,"60,133","60,119","60,142","60,430","61,041","61,891"
05035,AR,"48,163","48,156","48,076","47,438","47,051","47,139"
05037,AR,"16,833","16,828","16,795","16,672","16,590","16,420"
05039,AR,"6,482","6,481","6,444","6,309","6,196","6,185"
05041,AR,"11,395","11,398","11,324","11,048","10,758","10,479"
05043,AR,"17,350","17,345","17,313","17,057","16,912","16,945"
05045,AR,"123,498","123,493","123,820","125,608","127,565","129,951"
05047,AR,"17,097","17,103","17,139","17,166","17,270","17,468"
05049,AR,"12,075","12,074","12,054","12,147","12,355","12,421"
05051,AR,"100,180","100,173","100,258","100,393","99,982","99,784"
05053,AR,"17,958","17,960","18,018","18,123","18,129","18,383"
05055,AR,"45,736","45,738","45,864","46,341","46,408","46,743"
05057,AR,"20,065","20,069","19,989","19,667","19,481","19,343"
05059,AR,"33,040","33,044","33,075","33,079","33,149","33,258"
05061,AR,"12,785","12,786","12,757","12,695","12,622","12,533"
05063,AR,"37,938","37,931","37,940","38,100","38,254","38,320"
05065,AR,"13,577","13,578","13,602","13,921","14,029","14,169"
05067,AR,"16,755","16,765","16,761","16,781","16,654","16,784"
05069,AR,"67,260","67,258","66,830","65,637","64,295","63,661"
05071,AR,"25,749","25,749","25,724","25,957","25,970","26,129"
05073,AR,"6,308","6,305","6,293","6,159","6,129","6,095"
05075,AR,"16,216","16,221","16,218","16,329","16,194","16,318"
05077,AR,"8,600","8,593","8,526","8,560","8,367","8,201"
05079,AR,"12,941","12,936","12,890","13,168","12,910","12,898"
05081,AR,"12,026","12,026","11,974","11,973","11,865","11,805"
05083,AR,"21,131","21,128","21,100","21,229","21,258","21,400"
05085,AR,"74,015","74,012","74,055","74,770","75,199","75,944"
05087,AR,"16,521","16,519","16,545","16,944","17,463","17,775"
05089,AR,"16,826","16,828","16,873","16,984","17,289","17,514"
05091,AR,"42,600","42,599","42,588","42,494","42,608","42,415"
05093,AR,"40,685","40,682","40,538","39,534","38,863","38,663"
05095,AR,"6,799","6,802","6,776","6,648","6,568","6,512"
05097,AR,"8,484","8,482","8,485","8,635","8,543","8,620"
05099,AR,"8,310","8,312","8,284","8,184","8,179","8,120"
05101,AR,"7,225","7,228","7,196","7,167","7,101","7,071"
05103,AR,"22,650","22,647","22,615","22,312","21,994","21,793"
05105,AR,"10,019","10,018","9,997","9,995","10,073","10,184"
05107,AR,"16,568","16,571","16,440","15,825","15,350","14,961"
05109,AR,"10,171","10,169","10,162","10,114","10,159","10,208"
05111,AR,"22,965","22,965","22,954","22,691","22,453","22,397"
05113,AR,"19,221","19,213","19,177","19,333","19,334","19,436"
05115,AR,"63,381","63,384","63,410","63,778","64,053","64,593"
05117,AR,"8,282","8,287","8,249","8,095","8,077","8,036"
05119,AR,"399,125","399,125","399,274","398,108","399,387","400,009"
05121,AR,"18,571","18,574","18,595","18,839","18,852","18,907"
05123,AR,"23,090","23,094","23,021","22,715","22,402","22,101"
05125,AR,"123,416","123,430","123,826","125,382","127,415","129,574"
